Image,PSNR_AA,SSIM_AA,PSNR_No_AA,SSIM_No_AA,PSNR_Gain,SSIM_Gain
SCC_28_1_valid_patch_00,26.2193,0.840984,27.2104,0.901272,-0.9911,-0.060288
SCC_28_1_valid_patch_01,27.2516,0.779832,27.9673,0.842248,-0.7157,-0.062416
Trichoblastoma_19_1_valid_patch_00,25.8118,0.797187,26.6184,0.865324,-0.8066,-0.068137
Trichoblastoma_19_1_valid_patch_01,29.3158,0.854327,30.7542,0.891794,-1.4384,-0.037467
Trichoblastoma_22_1_valid_patch_00,26.4539,0.863362,26.9682,0.897459,-0.5143,-0.034097
Trichoblastoma_22_1_valid_patch_01,29.0313,0.864345,29.8316,0.904702,-0.8003,-0.040357
Trichoblastoma_23_1_valid_patch_00,28.6272,0.825357,29.2055,0.87435,-0.5783,-0.048993
Trichoblastoma_23_1_valid_patch_01,27.7151,0.83413,28.4158,0.884115,-0.7007,-0.049985
Trichoblastoma_25_1_valid_patch_00,30.5277,0.916488,30.5569,0.93383,-0.0292,-0.017342
Trichoblastoma_25_1_valid_patch_01,42.8835,0.984563,38.9953,0.980993,3.8882,0.00357
Trichoblastoma_29_1_valid_patch_00,28.1644,0.862053,29.2818,0.9091,-1.1174,-0.047047
Trichoblastoma_29_1_valid_patch_01,27.7212,0.837385,27.5615,0.868223,0.1597,-0.030838
Trichoblastoma_31_1_valid_patch_00,26.8325,0.828205,27.4773,0.879889,-0.6448,-0.051684
Trichoblastoma_31_1_valid_patch_01,25.8278,0.809234,26.7919,0.873849,-0.9641,-0.064615
Trichoblastoma_35_1_valid_patch_00,28.4308,0.843912,29.1227,0.890487,-0.6919,-0.046575
Trichoblastoma_35_1_valid_patch_01,28.3113,0.841921,29.1249,0.890681,-0.8136,-0.04876
